Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Date,Adj Close,Close,High,Low,Open,Volume
23/08/2021,163.2935028,163.2935028,164.0449982,160.5005035,160.5950012,65362000
24/08/2021,165.2890015,165.2890015,165.7745056,163.7290039,164,51036000
25/08/2021,164.9589996,164.9589996,166.0500031,164.3074951,165.4934998,33606000
26/08/2021,165.8000031,165.8000031,166.6000061,164.8000031,164.9499969,41976000
27/08/2021,167.4815063,167.4815063,167.6159973,165.6875,166.661499,48048000
30/08/2021,171.0785065,171.0785065,172.25,167.7610016,167.8715057,63844000
31/08/2021,173.539505,173.539505,173.6289978,169.7794952,171.2400055,87128000
01/09/2021,173.9499969,173.9499969,176.3500061,173.7619934,174.8200073,72598000
02/09/2021,173.1560059,173.1560059,175.5980072,172.75,174.7380066,58474000
03/09/2021,173.9024963,173.9024963,174.1334991,171.8220062,172.6000061,51514000
07/09/2021,175.4644928,175.4644928,176.4044952,173.8470001,173.8999939,54758000
08/09/2021,176.2749939,176.2749939,177.2814941,174.783493,175.5825043,61068000
09/09/2021,174.2079926,174.2079926,177.4994965,174.0184937,176.3009949,54384000
10/09/2021,173.4575043,173.4575043,175.4225006,173.1454926,175.091507,47946000
13/09/2021,172.8585052,172.8585052,174.897995,171.8999939,174.1399994,51380000
14/09/2021,172.5,172.5,174.3404999,171.885498,173.7774963,38738000
15/09/2021,173.789505,173.789505,174.2709961,170.1004944,172.1260071,59150000
16/09/2021,174.4120026,174.4120026,174.6275024,172.3070068,172.9980011,51672000
17/09/2021,173.1260071,173.1260071,174.8704987,172.6065063,174.4205017,92332000
20/09/2021,167.786499,167.786499,170.9499969,165.2505035,169.8000031,93382000
21/09/2021,167.1815033,167.1815033,168.9850006,166.6195068,168.75,55618000
22/09/2021,169.0025024,169.0025024,169.4499969,167.0525055,167.5500031,48228000
23/09/2021,170.8000031,170.8000031,171.447998,169.0025024,169.0025024,47588000
24/09/2021,171.276001,171.276001,171.4629974,169.6699982,170.1004944,42324000
27/09/2021,170.2899933,170.2899933,170.7785034,166.9804993,168.5749969,72690000
28/09/2021,165.7980042,165.7980042,168.4595032,164.5050049,167.885498,88616000
29/09/2021,165.0559998,165.0559998,167.5650024,164.8934937,166.1054993,51246000
30/09/2021,164.2519989,164.2519989,166.3925018,163.6994934,165.8000031,56848000
01/10/2021,164.1629944,164.1629944,165.4584961,162.7969971,164.4505005,56712000
04/10/2021,159.4889984,159.4889984,163.9994965,158.8125,163.9694977,90462000
05/10/2021,161.0500031,161.0500031,163.036499,160.1230011,160.2250061,65384000
06/10/2021,163.1004944,163.1004944,163.2169952,159.9309998,160.6764984,50660000
07/10/2021,165.1215057,165.1215057,166.2875061,164.1529999,164.5769958,48182000
08/10/2021,164.4309998,164.4309998,166.0715027,164.4100037,165.8500061,39964000
11/10/2021,162.3150024,162.3150024,164.6295013,161.9049988,163.75,40684000
12/10/2021,162.3665009,162.3665009,163.3764954,161.8139954,162.8500061,36392000
13/10/2021,164.2140045,164.2140045,164.4190063,163.0545044,163.4855042,48402000
14/10/2021,164.9929962,164.9929962,165.6300049,164.5390015,165.1224976,42190000
15/10/2021,170.451004,170.451004,170.5209961,165.1999969,165.5709991,103598000
18/10/2021,172.3370056,172.3370056,172.4584961,169.2550049,169.4179993,63482000
19/10/2021,172.2075043,172.2075043,172.7344971,171.1000061,171.7144928,47722000
20/10/2021,170.753006,170.753006,173.1430054,170.0184937,172.6329956,42796000
21/10/2021,171.7505035,171.7505035,172.0140076,170.1499939,170.7124939,37628000
22/10/2021,166.7774963,166.7774963,171.4920044,166.5650024,171.0500031,62782000
25/10/2021,166.0184937,166.0184937,167.3899994,164.8849945,166.75,44520000
26/10/2021,168.8034973,168.8034973,170.8059998,167.1990051,167.4754944,53966000
27/10/2021,169.6244965,169.6244965,171.8500061,168.5724945,169.3999939,54044000
28/10/2021,172.3285065,172.3285065,173.9499969,169.3000031,170.1049957,114174000
29/10/2021,168.6215057,168.6215057,168.7409973,163.6660004,165.0010071,129722000
01/11/2021,165.9055023,165.9055023,168.7929993,164.6009979,168.0899963,72178000
02/11/2021,165.6374969,165.6374969,166.5559998,164.1775055,165.7505035,52552000
