Price,Adj Close,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM,JPM
Date,Adj Close,Close,High,Low,Open,Volume
23/08/2021,138.273056,156.6999969,157.0899963,155.2400055,155.3300018,7934600
24/08/2021,139.1290131,157.6699982,158.5500031,156.8699951,157,7670900
25/08/2021,141.9968414,160.9199982,161.7799988,157.8000031,158.5099945,11335000
26/08/2021,142.7292175,161.75,163.8300018,161.1499939,162.2599945,11027500
27/08/2021,143.876358,163.0500031,163.1600037,161.2599945,161.75,8780200
30/08/2021,141.573288,160.4400024,163.4900055,159.8800049,163.2100067,7937600
31/08/2021,141.1408997,159.9499969,161.3699951,159.3500061,160.4400024,12340800
01/09/2021,140.9379425,159.7200012,160.7599945,158.9700012,160.2200012,8729900
02/09/2021,141.5909424,160.4600067,161.6100006,159.4299927,160.0200043,8813300
03/09/2021,140.7350159,159.4900055,160.8899994,159.1499939,160.3899994,7959700
07/09/2021,140.487915,159.2100067,161.3800049,158.9600067,159.9900055,9285600
08/09/2021,139.8614349,158.5,159.5800018,158.0399933,158.8899994,7852700
09/09/2021,140.4702911,159.1900024,160.8300018,158.0800018,158.2700043,7904300
10/09/2021,138.8554688,157.3600006,160.7200012,157.2200012,160.5599976,8311600
13/09/2021,141.0614777,159.8600006,160.0500031,158.0700073,158.5299988,10052800
14/09/2021,138.5995789,157.0700073,161.3399963,156.2599945,160.4499969,11685600
15/09/2021,139.5614166,158.1600037,158.6900024,156.4700012,156.7200012,11691500
16/09/2021,139.4996338,158.0899963,160.8500061,157.2200012,159.4100037,10880900
17/09/2021,139.1378021,157.6799927,159.0099945,157,157.3800049,25581600
20/09/2021,134.9728699,152.9600067,154.5599976,150.4900055,153.8899994,15819900
21/09/2021,134.9905243,152.9799957,154.5500031,152.5800018,153.5299988,8999900
22/09/2021,137.5759735,155.9100037,157.25,155.1000061,155.1999969,11236200
23/09/2021,142.2262421,161.1799927,161.7100067,157.6699982,158,12336100
24/09/2021,143.8675232,163.0399933,163.5899963,160.8200073,161.4400024,10102400
27/09/2021,147.3441925,166.9799957,167.3999939,164.6100006,165,13220900
28/09/2021,146.5500488,166.0800018,169.3000031,165.6600037,167.6999969,13387900
29/09/2021,146.4353638,165.9499969,166.8999939,165.0399933,166.2100067,7777100
30/09/2021,144.4411011,163.6900024,166.9900055,162.7899933,166.9199982,13161200
01/10/2021,147.476593,167.1300049,168.3000031,163.6000061,164,11285000
04/10/2021,147.3177338,166.9499969,170.4400024,165.7299957,166.9700012,14120000
05/10/2021,149.723465,168.6600037,170.1399994,166.6699982,167.2100067,12292900
06/10/2021,150.0430756,169.0200043,169.1000061,166,167.9900055,8692600
07/10/2021,150.9929352,170.0899963,171.5099945,169.5399933,171.1999969,10195400
08/10/2021,151.1083221,170.2200012,171.3399963,169.3000031,170.0200043,8190100
11/10/2021,147.9302979,166.6399994,171.2899933,166.4600067,170.8000031,12154700
12/10/2021,146.7939758,165.3600006,166.6900024,164.7700043,165.75,13032600
13/10/2021,142.9234772,161,165.4100037,160.6000061,164.0700073,22753500
14/10/2021,145.1162109,163.4700012,164.0099945,160.0599976,161.75,15176800
15/10/2021,147.9036407,166.6100006,167.1699982,164.1399994,165.3500061,14267400
18/10/2021,147.8503571,166.5500031,168.6100006,165.9100037,166.4799957,12672900
19/10/2021,149.6435852,168.5700073,168.6499939,166.5800018,167.3999939,8053900
20/10/2021,151.6587372,170.8399963,170.8699951,167.4600067,168.3000031,8185600
21/10/2021,150.469162,169.5,171.3300018,168.6799927,170.7599945,8415200
22/10/2021,152.4931793,171.7799988,172.0899963,169.6999969,170.0299988,8817900
25/10/2021,151.7474823,170.9400024,172.9600067,170.4799957,172.7100067,10159200
26/10/2021,152.155838,171.3999939,172.4900055,170.5399933,171,8015100
27/10/2021,148.9866638,167.8300018,170.6999969,167.3399963,170.3200073,9847000
28/10/2021,151.2326202,170.3600006,170.5099945,167.9600067,168.3000031,7212900
29/10/2021,150.8153992,169.8899994,172.2400055,169.3899994,171.1799927,8140100
01/11/2021,150.7354736,169.8000031,172.3300018,169.0099945,172.0399933,7435500
02/11/2021,151.3302612,170.4700012,171.6900024,168.9199982,169.8000031,7173800
03/11/2021,151.3834991,170.5299988,171.1300049,169.1499939,170.1300049,8402700
04/11/2021,149.3950195,168.2899933,170.1999969,166.4900055,170,9574200
05/11/2021,149.1819916,168.0500031,170.0899963,167.4100037,168.8999939,7975600
