Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,Adj Close,Close,High,Low,Open,Volume
23/08/2021,292.3808899,304.6499939,305.3999939,301.8500061,303.25,22830200
24/08/2021,290.4326172,302.6199951,305.6499939,302,305.019989,18175800
25/08/2021,289.8471985,302.0100098,304.5899963,300.4200134,304.2999878,20006100
26/08/2021,287.0448303,299.0899963,302.4299927,298.9500122,300.9899902,17666100
27/08/2021,287.6493835,299.7200012,300.8699951,296.8299866,298.9899902,22605700
30/08/2021,291.3636169,303.5899963,304.2200012,301.0599976,301.1199951,16348100
31/08/2021,289.7225037,301.8800049,304.5,301.5,304.4200134,26285300
01/09/2021,289.6744995,301.8299866,305.1900024,301.4899902,302.8699951,18983800
02/09/2021,289.0218506,301.1499939,303.3599854,300.1799927,302.2000122,16285600
03/09/2021,289.0122375,301.1400146,302.6000061,300.2600098,300.9899902,14747900
07/09/2021,288.0910034,300.1799927,301.0899963,298.2000122,301.0100098,17180400
08/09/2021,288.119751,300.2099915,300.6099854,297.4700012,299.7799988,15046800
09/09/2021,285.2789307,297.25,302.1400146,297,300.8200073,19927000
10/09/2021,283.8009338,295.7099915,299.9200134,295.3800049,298.4200134,19633400
13/09/2021,285.0294189,296.9899902,298.5400085,294.0799866,297.5499878,23652900
14/09/2021,287.7166443,299.7900085,301.3900146,298.1000061,299.5599976,21853400
15/09/2021,292.5440674,304.8200073,305.3200073,301.8200073,303.2600098,28356300
16/09/2021,292.927948,305.2200012,305.3099976,300.7600098,303.7600098,19550800
17/09/2021,287.7934265,299.8699951,304.5,299.5299988,304.1700134,41372500
20/09/2021,282.4477234,294.2999878,298.7200012,289.519989,296.3299866,38278700
21/09/2021,282.9276428,294.7999878,297.5400085,294.0700073,295.6900024,22364100
22/09/2021,286.5554199,298.5799866,300.2200012,294.5100098,296.730011,26626300
23/09/2021,287.4959717,299.5599976,300.8999939,297.5299988,298.8500061,18604600
24/09/2021,287.2943726,299.3500061,299.7999878,296.9299927,298.230011,14999000
27/09/2021,282.3229675,294.1700134,296.4700012,292.9400024,296.1400146,23571700
28/09/2021,272.1018677,283.519989,290.7799988,282.75,289.7999878,43186200
29/09/2021,272.5625,284,286.769989,283.0100098,285.1000061,26353700
30/09/2021,270.5663147,281.9200134,287.8299866,281.6199951,285.7099915,32343600
01/10/2021,277.4571533,289.1000061,289.980011,281.2900085,282.1199951,30086300
04/10/2021,271.7083435,283.1099854,287.75,280.25,287.3999939,31350700
05/10/2021,277.1308594,288.7600098,290.3999939,284.0499878,284.0499878,24993000
06/10/2021,281.3056946,293.1099854,293.6300049,285.5100098,285.7799988,28002600
07/10/2021,282.9756165,294.8500061,296.6400146,293.9200134,295.1799927,20430500
08/10/2021,282.9756165,294.8500061,296.6400146,293.7600098,296.2200012,17685700
11/10/2021,282.3805542,294.230011,297.9700012,292.75,292.9200134,19298600
